# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.005    0.708235         NaN       NaN    4.794578
  0.010    0.634492         NaN       NaN    4.491066
  0.015    0.633845         NaN       NaN    4.448236
  0.020    0.638372         NaN       NaN    4.528313
  0.025    0.642152         NaN       NaN    4.634957
  0.030    0.644088         NaN       NaN    4.755038
  0.035    0.644443         NaN       NaN    4.903713
  0.040    0.643314         NaN       NaN    5.088860
  0.045    0.641318         NaN       NaN    5.309484
  0.050    0.638825         NaN       NaN    5.560463
