omegas(Thz),alpha2f
1e-05,-0.0
0.3467,-0.0
0.6935,-0.0
1.0402,-0.0
1.3869,-0.0
1.7337,-0.00015
2.0804,-0.00149
2.4271,-0.00056
2.7739,0.02271
3.1206,0.04454
3.4673,0.03502
3.8141,0.04719
4.1608,0.06366
4.5075,0.0541
4.8543,0.1327
5.201,0.17146
5.5477,0.17198
5.8945,0.22613
6.2412,0.3042
6.5879,0.20599
6.9347,0.11878
7.2814,0.06895
7.6281,0.05025
7.9749,0.09615
8.3216,0.15781
8.6683,0.13593
9.0151,0.02622
9.3618,-0.00593
9.7085,-0.00192
10.0553,-0.00022
10.402,-1e-05
10.7487,-0.0
11.0955,-0.0
11.4422,-0.0
11.7889,-0.0
12.1357,-0.0
12.4824,-0.0
12.8291,-0.0
13.1759,-0.0
13.5226,-0.0
13.8693,-0.0
14.2161,-0.0
14.5628,-0.0
14.9095,-3e-05
15.2563,-0.00174
15.603,-0.03039
15.9497,-0.11257
16.2965,0.43795
16.6432,2.02445
16.9899,1.75751
17.3367,0.24014
17.6834,-0.14119
18.0302,0.07688
18.3769,0.79743
18.7236,1.11778
19.0704,0.41987
19.4171,0.54581
19.7638,0.57736
20.1106,0.50494
20.4573,2.33225
20.804,3.07822
21.1508,2.0618
21.4975,1.31656
21.8442,0.58798
22.191,1.13375
22.5377,1.82665
22.8844,0.8921
23.2312,0.76172
23.5779,1.48201
23.9246,1.14069
24.2714,0.4033
24.6181,0.27056
24.9648,0.45288
25.3116,0.42399
25.6583,0.14607
26.005,0.48108
26.3518,0.67274
26.6985,0.29508
27.0452,0.18572
27.392,0.3542
27.7387,0.68298
28.0854,0.876
28.4322,0.79356
28.7789,0.66108
29.1256,0.56373
29.4724,0.25801
29.8191,0.27862
30.1658,0.84835
30.5126,1.31034
30.8593,1.60347
31.206,1.18856
31.5528,0.72738
31.8995,1.04125
32.2462,1.00292
32.593,0.51249
32.9397,0.11456
33.2864,0.13029
33.6332,0.39212
33.9799,0.56397
34.3266,0.72024
34.6734,0.85506
35.0201,0.71899
35.3668,0.65714
35.7136,0.74033
36.0603,0.70767
36.407,0.97671
36.7538,1.43365
37.1005,1.12769
37.4472,0.42885
37.794,0.24004
38.1407,0.44017
38.4874,0.67725
38.8342,0.90386
39.1809,0.71183
39.5276,0.50053
39.8744,0.78751
40.2211,1.14128
40.5678,1.12317
40.9146,1.33028
41.2613,1.64641
41.608,1.7751
41.9548,2.12164
42.3015,2.12986
42.6482,1.32249
42.995,0.88085
43.3417,1.07214
43.6884,0.93842
44.0352,0.74193
44.3819,0.56101
44.7286,0.4544
45.0754,0.52767
45.4221,1.06052
45.7688,1.32491
46.1156,1.14878
46.4623,0.85831
46.809,0.94204
47.1558,0.84726
47.5025,0.31964
47.8492,0.48839
48.196,1.18921
48.5427,1.23073
48.8894,0.56562
49.2362,0.27096
49.5829,0.57683
49.9296,0.45336
50.2764,0.28689
50.6231,0.49234
50.9698,0.67965
51.3166,0.65369
51.6633,0.69603
52.0101,0.77017
52.3568,0.85932
52.7035,0.69964
53.0503,0.34427
53.397,0.18676
53.7437,0.21042
54.0905,0.19637
54.4372,0.16671
54.7839,0.11295
55.1307,0.06317
55.4774,-0.00341
55.8241,0.03258
56.1709,0.22694
56.5176,0.36504
56.8643,0.16348
57.2111,-0.0058
57.5578,0.06524
57.9045,0.12536
58.2513,0.03196
58.598,-0.00429
58.9447,0.10536
59.2915,0.17053
59.6382,0.04776
59.9849,0.05153
60.3317,0.15063
60.6784,0.12354
61.0251,0.15197
61.3719,0.08755
61.7186,0.00331
62.0653,0.01383
62.4121,0.00887
62.7588,0.042
63.1055,0.11466
63.4523,0.05546
63.799,0.00055
64.1457,0.03447
64.4925,0.04008
64.8392,0.0044
65.1859,-0.00448
65.5327,0.01375
65.8794,0.04894
66.2261,0.05976
66.5729,0.02556
66.9196,-0.00138
67.2663,-0.00198
67.6131,-0.00149
67.9598,0.00454
68.3065,0.02246
68.6533,0.01688
69.0,0.00067
